address,weight
0x0039F22efB07A647557C7C5d17854CFD6D489eF3,1.0
0x0039e762ECd8e8F074e93575dc395aBFCe4ef8b6,1.0
0x003A3Eb1a1D2ad3BeA19ae06324727bEEeeC2E34,1.0
0x003D3E4CB50479af917e883602d163503Bf863f4,1.0
0x003c52A71c887461087154EcCCed08cb1C5384A5,1.0
0x003d071581978D3AEA28faf82947dB95fbbA285b,1.0
0x003fa4b61302290B61BF099087C4259c062d5640,1.0
0x00403d4650001092E88003917E0cf8E8D32ecc3b,1.0
0x00409fC839a2Ec2e6d12305423d37Cd011279C09,76.0
0x0040eE9f8D744d973ae9E119ed6283e9F1EE1E8A,1.0
0x0041563D996167cD233a1670B2519E10Cc339308,1.0
0x0041B0239420DebF7885433d09AE4f274d3d8AC3,1.0
0x0041fc4F46735D5d42A08f762Fc38445Bc706ee3,1.0
0x0042f49A67186BC7A85977cC396777Ce3c656faa,1.0
0x00437ecdcf322be6ca61A07dc4cE404F7A88D407,1.0
0x004537FCd9095489EbE38180a382341B962b501d,125.0
0x0045fa93DEDB0af02956f7D7C306b34263688872,1.0
0x00472e07BcA400DBB4f64eE4fD55a8aAECFf1f37,1.0
0x00478eFDF2b63f02d2cAE9936fE42d718A90d44a,1.0
0x00480727027e07abE85cE43DB4D27a48AC1E9877,1.0
0x00489dDbF5aA399EE576c066a25cc908e038721f,1.0
0x0048d6225D1F3eA4385627eFDC5B4709Cab4A21c,1.0
0x00493aA44BCfd6F0c2EcC7F8B154e4fB352d1c81,125.0
0x00495aCCDC2650422E3eAAD6e94A2E8CcA7e37ce,1.0
0x004AFB002e3FB33C833FC16b6b63103bbf97312d,1.0
0x004B5427E5CDA44EeE0e4E94dfA97885c4799fad,1.0
0x004D17f9C94462C674e45c54b4aF1Ce33e078881,1.0
0x004F1c908f038C5c41cF0D4D5a86bE1075DDf0e0,1.0
0x004ca7d5F2bb05A19578932804Bf8547c3fb9Add,1.0
0x004f7c0a0C46fa704bf26FB2E97604820cD99dCF,1.0
0x004fDDD93bFfcEB10eFcD25d5964D8B46bBD39fB,1.0
0x0050F3427E5388E9cc458e977bC3444faf015618,25.0
0x005249F22D6a8Bb23E600bF1A104063A363dC9b2,50.0
0x0052957cF71dcaECb593325bb929F1002205894B,1.0
0x0054521286e66C72E62DE8D2915bC044Efe283C4,1.0
0x005475BE981822296283c7b11F5c5c63E04698FF,1.0
0x00558097AFCf4fa7d625a7Acd0C8733EC2a19089,1.0
0x005633FC7DfD1A9482b6AaB5f86FFDAe86974830,1.0
0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,126.0
0x005784cF2563E0dAa6c7AD71e329FDA0C8E692B0,1.0
0x0057e2E3f39928De3AeCeEbA93c7a88fBe615768,1.0
0x0057fF99a06f82Cd876c4F7F1718BD9A4F2e74B6,1.0
0x0059F21d8B3A23f372C0D5b43aa1C8f859fA6735,1.0
0x005B169E443196CD4e91036CA76950E5FD6194f8,50.0
0x005F769Fa289143419071Cab9540F874c82602EA,1.0
